,Gini
0,0.0
1,0.1472
2,0.21120000000000005
3,0.2934
4,0.2812
5,0.2956
6,0.2912
7,0.3308
8,0.389
9,0.40359999999999996
10,0.389
11,0.4114
12,0.44200000000000006
13,0.43200000000000005
14,0.4858
15,0.47640000000000005
16,0.4636
17,0.46820000000000006
18,0.4596
19,0.47640000000000005
20,0.47640000000000005
21,0.47919999999999996
22,0.4586
23,0.4636
24,0.4716
25,0.4464
26,0.4716
27,0.4464
28,0.4464
29,0.45520000000000005
30,0.45520000000000005
31,0.4808
32,0.4636
33,0.4806
34,0.477
35,0.48460000000000003
36,0.48460000000000003
37,0.479
38,0.4806
39,0.48860000000000003
40,0.5274000000000001
41,0.5338
42,0.5446
43,0.544
44,0.5136000000000001
45,0.5176000000000001
46,0.525
47,0.506
48,0.5267999999999999
49,0.5186
50,0.501
51,0.498
52,0.4888
53,0.5
54,0.4972
55,0.506
56,0.493
57,0.5224
58,0.5176000000000001
59,0.498
60,0.48960000000000004
61,0.5016
62,0.48960000000000004
63,0.5048
64,0.506
65,0.4948
66,0.48660000000000003
67,0.5302
68,0.56
69,0.5396000000000001
70,0.5098
71,0.4808
72,0.46820000000000006
73,0.44120000000000004
74,0.46440000000000003
75,0.45520000000000005
76,0.4858
77,0.47319999999999995
78,0.45520000000000005
79,0.45520000000000005
80,0.4588
81,0.4988
82,0.5186
83,0.485
84,0.5108
85,0.5144
86,0.514
87,0.5254000000000001
88,0.5404
89,0.5404
90,0.5506
91,0.5548
92,0.5254000000000001
93,0.5218
94,0.5214000000000001
95,0.5414
96,0.5414
97,0.5484
98,0.534
99,0.5222
